                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.84787,                0.47014,                0.87382,                0.59816,                0.53445,                 0.4661,                 0.1769,                 2.5069,                 1.5252,                 1.7104,              0.0008417,              0.0008417,              0.0008417
                    119,                0.90537,                0.46512,                0.89258,                0.62467,                0.55494,                0.51549,                0.19455,                 2.4394,                 1.5372,                 1.6974,              0.0008318,              0.0008318,              0.0008318
                    120,                 0.8741,                0.47491,                0.88269,                0.56032,                 0.5882,                0.45662,                0.18947,                 2.5185,                  1.576,                  1.753,              0.0008219,              0.0008219,              0.0008219
                    121,                0.87719,                0.48501,                0.87457,                0.56727,                0.64103,                0.50358,                0.18298,                 2.5744,                 1.4751,                 1.7954,               0.000812,               0.000812,               0.000812
                    122,                0.88433,                0.48357,                0.88269,                0.61946,                0.51282,                0.51822,                0.20393,                 2.5335,                 1.4497,                  1.717,              0.0008021,              0.0008021,              0.0008021
                    123,                0.85839,                0.45164,                0.86521,                0.55311,                 0.5641,                0.52154,                0.20692,                 2.5728,                 1.4778,                 1.7438,              0.0007922,              0.0007922,              0.0007922
                    124,                0.90026,                0.46066,                0.87704,                0.60758,                0.61538,                0.54699,                0.20768,                 2.5291,                 1.4882,                 1.7623,              0.0007823,              0.0007823,              0.0007823
                    125,                0.83893,                0.44524,                 0.8638,                0.54796,                0.53846,                0.49207,                0.21389,                 2.6045,                  1.576,                 1.9014,              0.0007724,              0.0007724,              0.0007724
                    126,                0.90172,                0.45197,                0.89505,                0.57603,                 0.5641,                0.50057,                0.21515,                 2.5717,                 1.5524,                 1.8686,              0.0007625,              0.0007625,              0.0007625
                    127,                0.88814,                0.45222,                 0.8782,                0.56492,                 0.5641,                0.49135,                0.21238,                 2.5711,                 1.6151,                 1.8766,              0.0007526,              0.0007526,              0.0007526
                    128,                0.87618,                0.45555,                 0.8905,                0.59328,                0.56111,                0.49016,                 0.2063,                 2.5172,                 1.5726,                 1.8606,              0.0007427,              0.0007427,              0.0007427
                    129,                0.86597,                0.46229,                0.86892,                0.51581,                0.53846,                0.44482,                0.16718,                 2.6732,                 1.8615,                 1.9419,              0.0007328,              0.0007328,              0.0007328
                    130,                0.84392,                 0.4463,                0.85553,                0.55048,                0.51282,                0.47148,                0.18801,                 2.6257,                 1.8506,                 1.8726,              0.0007229,              0.0007229,              0.0007229
                    131,                0.85536,                 0.4573,                0.84739,                0.57652,                0.55864,                0.49012,                0.20618,                 2.5001,                 1.8354,                 1.7991,               0.000713,               0.000713,               0.000713
                    132,                0.85421,                0.46226,                0.86222,                0.60067,                0.58974,                0.49923,                0.19571,                 2.6064,                 1.6495,                 1.8853,              0.0007031,              0.0007031,              0.0007031
                    133,                 0.7861,                0.42985,                0.84333,                0.64181,                 0.5641,                0.48761,                0.20047,                 2.5835,                 1.6429,                 1.9144,              0.0006932,              0.0006932,              0.0006932
                    134,                0.78139,                0.41454,                0.84662,                0.60921,                 0.5641,                0.47423,                0.18627,                 2.6323,                 1.5414,                 1.9163,              0.0006833,              0.0006833,              0.0006833
                    135,                0.76007,                0.40221,                0.84453,                0.62642,                0.53846,                0.46933,                0.18503,                 2.5402,                 1.6112,                 1.8513,              0.0006734,              0.0006734,              0.0006734
